,ACES,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ARTO,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BRIS,BRPT,BUKA,CPIN,ESSA,EXCL,GOTO,ICBP,INCO,INDF,INKP,INTP,ISAT,ITMG,JSMR,KLBF,MAPI,MBMA,MDKA,MEDC,MTEL,PGAS,PGEO,PTBA,SIDO,SMGR,SMRA,TLKM,TOWR,UNTR,UNVR
GOTO,0.01324856337875703,0.2108275960754611,0.043984623639772985,0.14281340938682982,0.017368823465442988,0.12726106037743304,0.13744540354324636,0.4614484694133293,0.1591003898160752,0.13887903857241257,0.0916658478798113,0.11157975858699666,0.15691495172829317,0.12894513583553632,0.15554566180489002,0.09306780080194386,0.22444534466506588,0.04141903869025065,0.041941350792595346,0.0460411703452833,1.0,0.11864646005412001,0.08352168299008515,0.08808023081461729,0.030553836450313888,0.034567768245305434,0.05074752113105423,0.01325166280435181,0.10476206257382094,0.0194172327831545,0.22326282422247182,0.07882630518219125,0.13566136630104156,0.07220967668496679,0.05942375433489401,0.05709861477423745,0.13020504679391187,0.13091987277412706,0.01140313758717205,0.08977690014168155,0.19766198148050573,0.07649340725720988,0.11527717527725607,0.0800858653078476,0.07576902029760577
ICBP,0.12165679290030403,0.01634301423741667,0.016102605781782436,0.03940456825778081,0.08668917579317903,0.2012734859832861,-0.021983786848602294,0.10159333460433907,0.0851966002892802,0.12695023685058174,0.28837402611373547,0.1719391924532836,0.2874156311470101,0.20486676034695112,0.23817987523956338,0.05410166006818629,0.08369921421587068,0.18391518326739337,-0.008526408866714666,0.09648276743109478,0.11864646005412001,1.0,-0.07577884693273543,0.360548228642727,0.0962678988093067,0.27307195577567617,0.09300956962239128,-0.03403216410549055,0.13504144122901693,0.22390904372635842,0.19819576358465155,0.0331021752188839,-0.05247016493754557,-0.06478473252981597,0.10148594842716453,0.10089643097589333,0.13021585581360845,0.0638834454143781,0.1463956859906398,0.12688649228405285,0.16240232020388415,0.1504925688586479,0.16351517309548017,-0.014696458431247957,0.11466644185778165
INCO,0.05394276263803784,0.19660972124031253,0.10234443975768374,0.24665992372966225,-0.031047278556442733,-0.040556472535753216,0.44538105527863353,0.1453408697104017,0.06597572416230192,-0.025410611142648105,0.0502856146588339,0.024305483017902686,0.0896157031911559,0.07248435938187242,0.07803093628069914,0.08845601331033351,0.07856476561043682,-0.061918895141575545,0.2677699323546572,0.06014526283120624,0.08352168299008512,-0.07577884693273541,1.0,0.022082179030444307,0.13937514452649122,0.08982770746183454,0.006601094006476366,0.17675402685555394,0.0923047599234839,-0.0298984617762417,0.004028709867913539,0.31950254868610356,0.3483254160928502,0.26251949950982395,-0.044944068560774916,0.14806084224248434,0.12386034241775816,0.20984926316513886,2.0131188923736912e-05,0.11050101113720955,0.02766525198915942,-0.027596966123110574,0.010512398648019337,0.17926685131498454,-0.030626972445361077
INDF,0.18139199693659463,-0.02382327254823051,0.09165547190513679,0.10660548716628372,0.0477150726622165,0.2123296929445618,0.09170899438955127,0.12478319610146613,0.24003720075185317,0.1715477686459254,0.24495803332892843,0.20009450697280357,0.243105814846492,0.21645806571089127,0.13376406854372405,0.06691212298704088,0.04934775086980448,0.17474753817604788,0.06182534570820621,0.09206235745683174,0.08808023081461729,0.360548228642727,0.022082179030444304,1.0,0.11569814824736574,0.10245497589839317,0.160700274085549,-0.013289788430120698,0.1715386149183581,0.1932501665352616,0.13183804259113455,0.05972931060689889,0.04971319306097984,0.037971899412089546,0.1300264182376059,0.18442516408503518,0.056774827001393156,0.07566008022556851,0.11126293485912706,0.17018075210515352,0.15315456098844146,0.1700978624506273,0.1932194795321299,0.0796211652031873,0.1307752494255366
INKP,0.05322324104258447,0.04391568685903923,0.0995775532532103,0.1795877591591923,0.05043598316944745,0.11952322849758219,0.2258886876088177,0.10298203532049942,0.13121784083814683,0.008609739674839799,0.11860788653325496,0.15085681748882182,0.13126724739347437,0.12865245092535885,0.11106186981235437,0.1795879877075932,0.08860384427814284,0.21521761772777867,0.1543504654700484,0.23653188521847923,0.030553836450313916,0.0962678988093067,0.13937514452649122,0.11569814824736574,1.0,0.16629717846281925,0.10680070497627765,0.24071427022745873,0.18341256649916468,0.18628001749480547,0.14104992477946576,0.19865354621692438,0.1811576592711716,0.24026301576775333,0.13812297634370227,0.18207782369451708,0.050918923645169215,0.19245083940078708,0.21572988653136638,0.2223352736314726,0.18440431752772832,-0.02474192310736182,0.23443131881081666,0.2469000688508742,0.12774505011425036
INTP,0.06288925198660159,0.09042013369803044,0.030194395005142042,0.05497572724069832,0.06992321388464069,0.044673265343926,0.12696718017056646,0.08494329343079746,0.04675580450721548,0.12201989113768441,0.17597376137078913,0.1021725306407082,0.16571051126762934,0.18305530602082878,0.04896514734932243,0.12436609269697828,0.16511866155322186,0.05535839922820546,0.06752566844771152,0.07687535797868157,0.03456776824530546,0.27307195577567617,0.08982770746183455,0.1024549758983932,0.16629717846281925,1.0,-0.010546150145795914,0.09689927960555747,0.22231940282553428,0.11807540329355128,0.10988716674741023,0.06563981446846152,0.11056734127091057,0.0104115222622505,0.1801379215424065,0.11017228315024714,0.036641753822349465,0.05821664292446426,0.0717909995947051,0.4876882646683919,0.15084074881834966,0.13236005011430482,0.2176847876708169,0.06838491034781348,0.08435808344900975
ISAT,0.007764082757227299,-0.02416013529034908,-0.01609987407087398,0.017547060333807554,-0.006647142396508506,0.06414080215582108,0.036675424326040595,0.08638169032606963,0.0661541227944709,0.13139249792516242,0.13354112383637468,0.0866719627822102,0.04652691785762007,0.12017764221523677,0.06791918125705905,0.042845570760130146,-0.3688660966875175,0.002858859627654694,0.00930755271628517,0.10791953012430544,0.050747521131054206,0.09300956962239129,0.006601094006476387,0.160700274085549,0.10680070497627762,-0.010546150145795914,1.0,-0.010584285426771709,0.038817975942792494,0.03926333168534211,0.04629677531894184,0.052496591196043906,0.053791742459370726,0.06120072606319101,0.046081691069708254,0.0802803698798217,0.05393759726295923,-0.015497396174893823,-0.08063678643805323,0.07729695273802513,0.08475376063721196,0.06902509238529798,0.09283008439978387,0.061142985380331916,-0.07142790235583718
ITMG,0.04541012829338488,0.20916164004586824,0.37258265850450417,0.23843043884929602,-0.05693759498401147,-0.0006354460785149248,0.22067399637063692,0.1266682809156044,0.15712703870422834,0.08103740559449843,0.10269544090830765,0.18605287998131828,0.11667672577197225,0.16183240295348195,0.07545361713298619,0.09086064745909217,0.14034150273920407,0.028423547421135575,0.20451250574733187,0.14179603845153166,0.013251662804351803,-0.03403216410549055,0.1767540268555539,-0.013289788430120702,0.24071427022745873,0.09689927960555747,-0.010584285426771702,1.0,0.120694746754914,0.0211148249543708,0.05425981100932316,0.22081317525090308,0.18959264276733304,0.23606928945243383,0.05586258441651633,0.2722641816244648,0.06044935543358688,0.47192019698829113,0.116844118694189,0.17831073683080836,0.08579250187991974,0.03665452183299102,0.14076752679565754,0.47916809256986415,0.07470122944617201
JSMR,0.14260536838270174,0.14089140485015383,0.0964431960339291,0.20509207271003066,0.02258756030907496,0.14035957185617212,0.13812658455464805,0.1959432643448401,0.13431479307634456,0.08892810241640772,0.17239805513382433,0.19097630231911122,0.16218499787894522,0.16042236720491956,0.2219702818204067,0.11725803989465416,0.1363415064391652,0.2226900147149293,0.06684848496162463,0.16597903559037935,0.10476206257382095,0.13504144122901693,0.09230475992348397,0.1715386149183581,0.18341256649916474,0.22231940282553425,0.03881797594279249,0.12069474675491396,1.0,0.10914692121030257,0.12427127743292278,0.09030371699010757,0.20699821117832728,0.1640485278966444,0.1378802242284616,0.12069379347900613,0.18506512205793318,0.0942735191349474,0.1927431658767395,0.2610806122204779,0.2448909074321373,0.11466860512876886,0.23188649823958898,0.0987707831003834,0.0489864122199595
KLBF,0.22903258105390706,0.012377756537194938,0.0002514446062587401,0.019107809037577524,-0.047144683352020635,0.11333030352780604,-0.0022557876658634603,0.16409263809753252,0.21606942806600832,0.0941377037825483,0.15602530191147293,0.1570488816041449,0.1604548838675539,0.09001033047000799,0.011758228327945505,0.06740272796982534,0.11842873686426418,0.18679584485947873,-0.10032401198838613,0.0868520338344256,0.019417232783154485,0.22390904372635842,-0.02989846177624172,0.1932501665352616,0.18628001749480547,0.11807540329355128,0.03926333168534213,0.021114824954370812,0.10914692121030257,1.0,0.09261052016601767,-0.025893686969558946,-0.06515807694056018,-0.06116673205915327,0.08037959095254356,0.07086149158589246,0.03193130329880982,0.06774465973541334,0.20356835962746397,0.19180990146336183,0.205128955764771,0.13238792598329815,0.15553329292475288,0.04619314613321876,0.19456969706704894
MAPI,0.1935809505878519,0.02570338022856256,-0.041001485157246595,0.09072321370136216,-0.011217995456418543,0.11336889307824459,0.10448106068746145,0.23670237183767298,0.1424581598126426,0.17246719330503182,0.20120098267382547,0.20123839367956037,0.2557272038464817,0.18351086090090032,0.11536875289605408,0.04550389128927719,0.14261144065506526,0.10302616199680505,0.05073422565899957,0.1899900550190036,0.22326282422247182,0.19819576358465155,0.004028709867913535,0.13183804259113455,0.1410499247794657,0.10988716674741021,0.04629677531894183,0.05425981100932316,0.12427127743292275,0.0926105201660177,1.0,0.09208151787170855,0.008016455567325567,0.04195747270030587,0.07887498481989186,0.031146075307989077,0.028314202273070382,0.22653285209245883,0.09104479139342822,0.09565195296153622,0.16835031385347032,0.1669533152358562,0.20287769844504494,0.05600676135338434,0.040619932123354054
MBMA,0.10820774584555692,0.22571265972542212,0.21026467816577335,0.15695742073037522,0.01861615199230957,-0.01737700917716808,0.2535083829409994,0.14593493885697842,0.04936862046328963,0.048249040022123935,0.14456542581244447,0.17675258895633367,0.23946508753030965,0.14256948703007605,0.17991088976928407,0.15483425297269285,0.09038681407728248,0.0728091518302953,0.22618977731366627,0.20101277262490636,0.07882630518219122,0.0331021752188839,0.31950254868610356,0.05972931060689891,0.19865354621692438,0.06563981446846157,0.052496591196043885,0.22081317525090297,0.09030371699010757,-0.025893686969558932,0.09208151787170854,1.0,0.38401014927056715,0.18412415594947165,0.080664761983554,0.09606104703628304,0.23520799513363772,0.2170537595807542,0.14329257923832717,0.08208022486306767,0.10261847316497658,0.07918661502700385,0.1418592847557519,0.19846486760697887,0.09869422263527043
